handle,skus,product_title,old_seo_title,new_seo_title,barcodes
canpol-34-920-smoczek-silikonowy-0-m-symetryczny-exotic-koala,5901691870130,CANPOL 34/920 - Smoczek silikonowy - (0+m) - SYMETRYCZNY - EXOTIC Koala,CANPOL 34/920 - Smoczek silikonowy – mamapack,Canpol 34/920 smoczek Exotic Koala 0-6m,
canpol-34-920-smoczek-silikonowy-symetryczny-0-6m-panda,5902814,CANPOL 34/920 - Smoczek silikonowy - SYMETRYCZNY - (0-6m) - Panda,CANPOL 34/920 - Smoczek silikonowy – mamapack,Canpol 34/920 smoczek Panda 0-6m,
canpol-35-2423-butelka-antykolkowa-easystart-mountains-green-120ml-240ml,"5901691888005, 5901691888029",CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS - GREEN - (120ml / 240ml),CANPOL 35/242(3) - Butelka antykolkowa – mamapack,Canpol EasyStart Mountains Green butelka 120/240 ml,", "
canpol-35-243-butelka-antykolkowa-240-ml-beige-3m,"5901691887992, 5901691888012",CANPOL 35/242(3) - BUTELKA antykolkowa - EasyStart MOUNTAINS BEIGE - (120ml / 240ml),CANPOL 35/242(3) - Butelka antykolkowa – mamapack,Canpol EasyStart Mountains Beige butelka 120/240 ml,", "
canpol-78-026-jednorazowe-splukiwalne-nakladki-na-toalete-10-szt-copy,5903407367279,Canpol 78/025 - Jednorazowe RĘCZNIKI – ZESTAW 2 szt.  - (140×70 cm + 70×30 cm),Jednorazowe nakładki na toaletę - Biodegradowalne – mamapack,Canpol 78/025 r?czniki jednorazowe 2 szt.,5903407367279
jednorazowe-nakladki-na-toalete-biodegradowalne-podkladki-6-szt-copy,5903407367286,Canpol 78/026 - Jednorazowe spłukiwalne nakładki na toaletę - (10 szt. ),Jednorazowe nakładki na toaletę - Biodegradowalne – mamapack,Canpol 78/026 nak?adki na toalet? 10 szt.,5903407367286
jednorazowe-nakladki-na-toalete-biodegradowalne-podkladki-8-szt,5902704992603,Jednorazowe nakładki na toaletę -  Biodegradowalne podkładki - (6 szt.),Jednorazowe nakładki na toaletę - Biodegradowalne – mamapack,Intervion nak?adki na toalet? biodegradowalne 6 szt.,
kompletny-md,PREM-MD-1,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PREMIUM,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,Torba do szpitala mama i noworodek - Premium,
torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-kompletna,KOM-MD-1,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka KOMPLETNA,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,Torba do szpitala mama i noworodek - Kompletna,
torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-podstawowa,POD-MD-1,Torba do szpitala dla MAMY i NOWORODKA – gotowa wyprawka PODSTAWOWA,Torba do szpitala dla Mamy i Noworodka – gotowa – mamapack,Torba do szpitala mama i noworodek - Podstawowa,
torba-do-szpitala-mamy-noworodka-gotowa-wyprawka-rozszerzona,ROZ-MD-1,Torba do szpitala dla DLA MAMY I NOWORODKA – gotowa wyprawka ROZSZERZONA,Torba do szpitala dla Mamy I Noworodka – gotowa – mamapack,Torba do szpitala mama i noworodek - Rozszerzona,
pikowana-torba-do-szpitala-z-niedzwiedziem,TORBA05-L,PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM -  Rozmiar: L,Pikowana Torba do szpitala z Niedźwiedziem - Rozmiar – mamapack,Pikowana torba do szpitala z nied?wiedziem L,
pikowana-torba-do-szpitala-z-niedzwiedziem-rozmiar-m,TORBA05-M,PIKOWANA TORBA do szpitala z NIEDŹWIEDZIEM - Rozmiar: M,Pikowana Torba do szpitala z Niedźwiedziem - Rozmiar – mamapack,Pikowana torba do szpitala z nied?wiedziem M,
rozek-niemowlecy-standard-75x75-cm-miminu-design-kotki-bawelna-100,5911186,Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN Kotki ) - bawełna 100%,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,Ro?ek niemowl?cy 75x75 MIMINU Kotki,
rozek-niemowlecy-standard-75x75-cm-miminu-design-little-ballerina-bawelna-100,5911326,"Rożek niemowlęcy - standard 75x75 cm - (MIMINU DESIGN, little ballerina) - bawełna 100%",Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,Ro?ek niemowl?cy 75x75 Little Ballerina,
rozek-niemowlecy-standard-75x75-cm-miminu-design-misie-blekit-bawelna-100,5911201,Rożek niemowlęcy - standard 75x75 cm -(MIMINU DESIGN Misie błękit) - bawełna 100%,Rożek niemowlęcy - standard 75x75 cm - - bawełna 100% – mamapack,Ro?ek niemowl?cy 75x75 Misie b??kit,
rozek-niemowlecy-standard-80x80-cm-becik-otulacz-dwustronny-bawelna,ROZ2190,Rożek niemowlęcy - standard 80x80 cm - BECIK OTULACZ DWUSTRONNY - bawełna,Rożek niemowlęcy - standard 80x80 cm – mamapack,Ro?ek niemowl?cy 80x80 dwustronny bawe?na,
rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-chlopca,RZCH8080,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA CHŁOPCA,Rożek niemowlęcy - standard 80x80 cm – mamapack,Ro?ek niemowl?cy 80x80 na rzep dla ch?opca,
rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-dla-dziewczynki,RZDG8080,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100%- DLA DZIEWCZYNKI,Rożek niemowlęcy - standard 80x80 cm – mamapack,Ro?ek niemowl?cy 80x80 na rzep dla dziewczynki,
rozek-niemowlecy-standard-80x80-cm-na-rzep-bawelna-100-szary-w-gwiazdki,ROZEK8080,Rożek niemowlęcy - standard 80x80 cm - (na rzep) - bawełna 100% - SZARY W GWIAZDKI,Rożek niemowlęcy - standard 80x80 cm – mamapack,Ro?ek niemowl?cy 80x80 szary w gwiazdki,
skarb-matki-pomadka-ochronna-dla-dzieci-o-smaku-kokosa-i-wanilii,001341,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku kokosa i wanilii - 6,5g",Skarb Matki - Pomadka Ochronna – mamapack,"Skarb Matki pomadka kokos i wanilia 6,5 g",
skarb-matki-pomadka-ochronna-dla-dzieci-smak-malinowy,SM0021,"SKARB MATKI - Pomadka Ochronna - dla dzieci o smaku malinowym - 6,5g",Skarb Matki - Pomadka Ochronna – mamapack,"Skarb Matki pomadka malinowa 6,5 g",
