Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
bibs-smoczek-2-pak-latex-kosc-sloniowa-szalwia,,,,,,,Size,3,,,,,BIB000091,,,,deny,manual,21.87,,TRUE,TRUE,5713795198757,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000091_130241k%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Kość Słoniowa/Szałwia - Size 3
bibs-smoczek-2-pak-latex-roz-czarny-bez,BIBS Smoczek 2 Pak Latex Róż/Czarny Bez,"<p>BIBS Smoczek 2 Pak Latex Róż/Czarny Bez prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 2</li></ul><p>Original AICO links:</p><ul><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=lf3_Py4nWE1WPPFEy0QWLw"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=120433"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,2,,,,,BIB000099,,,,deny,manual,21.87,,TRUE,TRUE,5713795252695,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000099_5713795252695_2_BIBS_COLOUR_PACK_Rnd_Latex_S2_DustyPink_Elderberry_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Róż/Czarny Bez - Size 2
bibs-smoczek-2-pak-latex-roz-fiolet,BIBS Smoczek 2 Pak Latex Róż/Fiolet,"<p>BIBS Smoczek 2 Pak Latex Róż/Fiolet prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 2</li></ul><p>Original AICO links:</p><ul><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=iO3BDoUnJUFcFCT1mToMMQ"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=120416"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,2,,,,,BIB000096,,,,deny,manual,21.87,,TRUE,TRUE,5713795241187,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000096_5713795241187_2_BIBS_COLOUR_PACK_Rnd_Latex_S2_Blossom_DuskyLilac_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Róż/Fiolet - Size 2
bibs-smoczek-2-pak-latex-roz-wanilia-swiecacy,BIBS Smoczek 2 Pak Latex Róż/Wanilia Świecący,"<p>BIBS Smoczek 2 Pak Latex Róż/Wanilia Świecący prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2, 3</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=Qvf_GsOAS-bhtXxcRJz0kQ"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=110243"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=ouFerewLpxGRaXr3iOk94Q"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=120243"">search by code</a></li><li>Size 3: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=x26maCA8CMt0PIfF6j3JQw"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=130243"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000104,,,,deny,manual,23.92,,TRUE,TRUE,5713795210015,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000104_110243f%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Róż/Wanilia Świecący - Size 1
bibs-smoczek-2-pak-latex-roz-wanilia-swiecacy,,,,,,,Size,2,,,,,BIB000100,,,,deny,manual,23.92,,TRUE,TRUE,5713795220014,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000100_120243%20(458%20x%20458).jpg,BIBS Smoczek 2 Pak Latex Róż/Wanilia Świecący - Size 2
bibs-smoczek-2-pak-latex-roz-wanilia-swiecacy,,,,,,,Size,3,,,,,BIB000093,,,,deny,manual,23.92,,TRUE,TRUE,5713795200986,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000093_130243%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Róż/Wanilia Świecący - Size 3
bibs-smoczek-2-pak-latex-symetryczny-kosc-sloniowa-roz,BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Róż,"<p>BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Róż prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=kkpexcIaS8oYKi2rAs7kSA"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2121417"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=0MaU-nOm6yXOd7dzovr77w"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2221417"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000070,,,,deny,manual,21.87,,TRUE,TRUE,5713795242382,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000070_5713795242382_2_BIBS_COLOUR_PACK_Sym_Latex_Ivory_Blush_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Róż - Size 1
bibs-smoczek-2-pak-latex-symetryczny-kosc-sloniowa-roz,,,,,,,Size,2,,,,,BIB000068,,,,deny,manual,21.87,,TRUE,TRUE,5713795242399,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000068_5713795242399_2_BIBS_COLOUR_PACK_Sym_Latex_Ivory_Blush_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Róż - Size 2
bibs-smoczek-2-pak-latex-symetryczny-kosc-sloniowa-szalwia,BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Szałwia,"<p>BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Szałwia prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=5guavpCSBGcw0QuYJES54w"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2121416"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=V3AHVqILh1HKdJFLJuvSjQ"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2221416"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000069,,,,deny,manual,21.87,,TRUE,TRUE,5713795242344,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000069_5713795242344_2_BIBS_COLOUR_PACK_Sym_Latex_Ivory_Sage_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Szałwia - Size 1
bibs-smoczek-2-pak-latex-symetryczny-kosc-sloniowa-szalwia,,,,,,,Size,2,,,,,BIB000067,,,,deny,manual,21.87,,TRUE,TRUE,5713795242351,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000067_5713795242351_2_BIBS_COLOUR_PACK_Sym_Latex_Ivory_Sage_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Symetryczny Kość Słoniowa/Szałwia - Size 2
bibs-smoczek-2-pak-latex-symetryczny-wanilia-pine,BIBS Smoczek 2 Pak Latex Symetryczny Wanilia/Pine,"<p>BIBS Smoczek 2 Pak Latex Symetryczny Wanilia/Pine prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 2</li></ul><p>Original AICO links:</p><ul><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=j209lssGAATc8i2nO-FxYg"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2221428"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,2,,,,,BIB000066,,,,deny,manual,21.87,,TRUE,TRUE,5713795252817,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000066_5713795252817_2_BIBS_COLOUR_PACK_Sym_Latex_Vanilla_Pine_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Symetryczny Wanilia/Pine - Size 2
bibs-smoczek-2-pak-latex-szary-baby-blue-swiecacy,BIBS Smoczek 2 Pak Latex Szary/Baby Blue Świecący,"<p>BIBS Smoczek 2 Pak Latex Szary/Baby Blue Świecący prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2, 3</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=2Nc39mVS2VKkpjWGTIAPGA"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=110266"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=nF7MI42bcMAmmqEtO-en8g"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=120266"">search by code</a></li><li>Size 3: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=ZFyQqb54F12a0T340HnOnQ"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=130369"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000103,,,,deny,manual,23.92,,TRUE,TRUE,5713795198917,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000103_gri%20(480%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Szary/Baby Blue Świecący - Size 1
bibs-smoczek-2-pak-latex-szary-baby-blue-swiecacy,,,,,,,Size,2,,,,,BIB000098,,,,deny,manual,21.87,,TRUE,TRUE,5713795198924,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000098_gri%20(480%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Szary/Baby Blue Świecący - Size 2
bibs-smoczek-2-pak-latex-szary-baby-blue-swiecacy,,,,,,,Size,3,,,,,BIB000092,,,,deny,manual,23.92,,TRUE,TRUE,5713795262519,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000092_5713795262519_2_BIBS_Pacifier_Colour_Pack_Iron%20Glow_BabyBlue%20Glow_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek 2 Pak Latex Szary/Baby Blue Świecący - Size 3
bibs-smoczek-boheme-2-pak-latex-kosc-sloniowa-szalwia,BIBS Smoczek Boheme 2 Pak Latex Kość Słoniowa/Szałwia,"<p>BIBS Smoczek Boheme 2 Pak Latex Kość Słoniowa/Szałwia prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=O4wePTN149Krjbk3nDW0YA"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=230101"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=2L9bujU7oGmb8Pjt2gUJrg"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=240101"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000121,,,,deny,manual,23.92,,TRUE,TRUE,5713795229123,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000121_230101l%20(458%20x%20458).jpg,BIBS Smoczek Boheme 2 Pak Latex Kość Słoniowa/Szałwia - Size 1
bibs-smoczek-boheme-2-pak-latex-kosc-sloniowa-szalwia,,,,,,,Size,2,,,,,BIB000119,,,,deny,manual,23.92,,TRUE,TRUE,5713795229130,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000119_240101l%20(458%20x%20458).jpg,BIBS Smoczek Boheme 2 Pak Latex Kość Słoniowa/Szałwia - Size 2
bibs-smoczek-boheme-2-pak-latex-roz-fiolet,BIBS Smoczek Boheme 2 Pak Latex Róż/Fiolet,"<p>BIBS Smoczek Boheme 2 Pak Latex Róż/Fiolet prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=HLU1CS53cxsrMK37PBrZ-g"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=230104"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=32nKiS5NBdVoWH2JuT1XCQ"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=240104"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000122,,,,deny,manual,23.92,,TRUE,TRUE,5713795229185,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000122_Smoczek-BIBS-Boheme-240104-6-m-Wielokolorowy-2-szt-zestaw%20(554%20x%20600).jpg,BIBS Smoczek Boheme 2 Pak Latex Róż/Fiolet - Size 1
bibs-smoczek-boheme-2-pak-latex-roz-fiolet,,,,,,,Size,2,,,,,BIB000120,,,,deny,manual,23.92,,TRUE,TRUE,5713795229192,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000120_Smoczek-BIBS-Boheme-240104-6-m-Wielokolorowy-2-szt-zestaw%20(554%20x%20600).jpg,BIBS Smoczek Boheme 2 Pak Latex Róż/Fiolet - Size 2
bibs-smoczek-boheme-latex-kosc-sloniowa,BIBS Smoczek Boheme Latex Kość Słoniowa,"<p>BIBS Smoczek Boheme Latex Kość Słoniowa prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=ncMo7xBrMqJLG6cxcybPHg"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2101000216"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000113,,,,deny,manual,11.79,,TRUE,TRUE,5713795263516,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000113_5713795263516_3_BIBS_BOHEME_PACK_Rnd_Latex_Ivory_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek Boheme Latex Kość Słoniowa - Size 1
bibs-smoczek-boheme-latex-szalwia,BIBS Smoczek Boheme Latex Szałwia,"<p>BIBS Smoczek Boheme Latex Szałwia prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Latex</li><li>Available sizes: 1, 2</li></ul><p>Original AICO links:</p><ul><li>Size 1: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=NSmq_FzT6HIHSwXKOpIfBw"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2101000250"">search by code</a></li><li>Size 2: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=f5V2krym4OwGfizf4ul4pA"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=2202000250"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Latex",FALSE,Size,1,,,,,BIB000117,,,,deny,manual,11.79,,TRUE,TRUE,5713795263387,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000117_5713795263387_3_BIBS_BOHEME_PACK_Rnd_Latex_Sage_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek Boheme Latex Szałwia - Size 1
bibs-smoczek-boheme-latex-szalwia,,,,,,,Size,2,,,,,BIB000118,,,,deny,manual,11.79,,TRUE,TRUE,5713795263417,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000118_5713795263387_3_BIBS_BOHEME_PACK_Rnd_Latex_Sage_2000x2000%20(600%20x%20600).jpg,BIBS Smoczek Boheme Latex Szałwia - Size 2
bibs-smoczek-de-lux-2-pak-silikon-roz-wanilia-swiecacy,BIBS Smoczek De Lux 2 Pak Silikon Róż/Wanilia Świecący,"<p>BIBS Smoczek De Lux 2 Pak Silikon Róż/Wanilia Świecący prepared from the AICO B2B catalog for Shopify import.</p><ul><li>Brand: BIBS</li><li>Category: Pacifier</li><li>Material: Silicone</li><li>Available sizes: Default</li></ul><p>Original AICO links:</p><ul><li>BIB000064: <a href=""https://e.aico.com.pl/ProduktySzczegoly.aspx?id_artykulu=Xkpidljl40NQmiu0zHRA_Q"">detail</a> | <a href=""https://e.aico.com.pl/ProduktyWyszukiwanie.aspx?search=150216"">search by code</a></li></ul>",BIBS,Pacifier,"BIBS,Pacifier,AICO,Silicone",FALSE,Title,Default Title,,,,,BIB000064,,,,deny,manual,23.92,,TRUE,TRUE,5713795200610,https://b2b:aico2012@e.aico.com.pl/Obrazki/BIB000064_150216l%20(458%20x%20458).jpg,BIBS Smoczek De Lux 2 Pak Silikon Róż/Wanilia Świecący
